Username,Date,Time,CashTag,Alert Price,2hr,4hr,1D,1w,Current Price,Tweet
Michael___hunt,2021-08-13,15:43:36,SNMP,NA,NA,NA,NA,NA,1.25,$SNMP incredible opportunity here.  This is worth $2+ on paper right now.  Wake up and take the gift.  Infrastructu… https://t.co/zWKhEWtvZN
Michael___hunt,2021-08-13,15:32:04,SNMP,NA,NA,NA,NA,NA,1.25,$SNMP lol fire sale.  This bounces big
Michael___hunt,2021-08-13,13:49:43,TIRX,NA,NA,NA,NA,NA,5.26,$TIRX has crazy upside.  Could be special if the Algos take it
Michael___hunt,2021-08-12,18:13:25,NUZE,3.12,NA,NA,NA,NA,3.11,$NUZE joined here.  Monster upside.  When this turns it will be a violent and powerful move.
Michael___hunt,2021-08-12,16:29:19,COHN,20.5,NA,NA,NA,NA,21.05,"$COHN yawn, wake me up over $50"
Michael___hunt,2021-08-12,14:17:49,SNMP,1.4907,1.41,1.37,NA,NA,1.25,$SNMP yawn.  Market completely missing the magnitude of the deal.  Not for long….next Leg up well over $2 coming soon
Michael___hunt,2021-08-11,18:57:37,SNMP,1.47,1.45,1.45,1.4,NA,1.25,$SNMP next leg up takes this well over $2 and that’s soon.  Dips are part of the game and they should be loaded.
Michael___hunt,2021-08-11,18:07:57,SNMP,1.46,1.45,1.45,1.38,NA,1.25,$SNMP easy dip add down here.  Much bigger move coming soon enough
Michael___hunt,2021-08-11,16:55:59,COHN,19.85,19.85,19.85,21.0,NA,21.05,$COHN show us $30.  This wants green.  They will pile into the close for the dividend date
Michael___hunt,2021-08-11,16:19:01,NETE,11.5,11.73,11.73,11.36,NA,11.465,$NETE take the gift.  This doubles by end of month.
Michael___hunt,2021-08-11,16:12:32,COHN,20.1521325245,19.85,19.85,20.5,NA,21.05,$COHN sub $20 is simple theft
Michael___hunt,2021-08-11,15:18:55,COHN,19.9004038264,19.85,19.85,21.0,NA,21.05,Garbage tape today.  Great day to add more $COHN on low volume dip sub $20.  Divvy date tomorrow.  They will come for this
